"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","9.47","1061378195.97","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","156.45","94658224199.7","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","17.96","752415934.68","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","53.83","7494259216.78","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","5.81","125179616.45","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","6.02","381281263.16","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","21.45","480636820.95","n/a","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"AIR","AAR Corp.","19.56","685453305","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","22.03","1598899971.03","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","17.86","39142425018.26","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","38.53","57475967400.23","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","54.29","88750410123.93","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","26.5","1780923596","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","7.71","70839125.34","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.82","93180862.06","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","8.08","62205786.88","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","31.85","1785890078.7","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","33.13","2286684812.88","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","98.95","64409181726.7","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","6.97","741479417.44","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ACW","Accuride Corporation New","0.8915","42750594.2825","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ATV","Acorn International, Inc.","6.82","4247993.86","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
